featureType,latitude,longitude
home,37.74114285714286,-122.50635428571428
home,37.744128571428575,-122.50635428571428
home,37.74711428571429,-122.50635428571428
home,37.7501,-122.50635428571428
home,37.75308571428572,-122.50635428571428
home,37.75607142857143,-122.50635428571428
home,37.759057142857145,-122.50635428571428
home,37.76204285714286,-122.50635428571428
home,37.771,-122.50635428571428
home,37.773985714285715,-122.50635428571428
home,37.77697142857143,-122.50635428571428
home,37.77995714285714,-122.50635428571428
home,37.7292,-122.50160571428572
home,37.735171428571434,-122.50160571428572
home,37.73815714285715,-122.50160571428572
home,37.74114285714286,-122.50160571428572
home,37.744128571428575,-122.50160571428572
home,37.74711428571429,-122.50160571428572
home,37.7501,-122.50160571428572
home,37.75308571428572,-122.50160571428572
home,37.75607142857143,-122.50160571428572
home,37.759057142857145,-122.50160571428572
home,37.76204285714286,-122.50160571428572
home,37.76502857142857,-122.50160571428572
home,37.773985714285715,-122.50160571428572
home,37.77697142857143,-122.50160571428572
home,37.77995714285714,-122.50160571428572
home,37.78294285714286,-122.50160571428572
home,37.7292,-122.49685714285714
home,37.73218571428571,-122.49685714285714
home,37.735171428571434,-122.49685714285714
home,37.73815714285715,-122.49685714285714
home,37.74114285714286,-122.49685714285714
home,37.744128571428575,-122.49685714285714
home,37.74711428571429,-122.49685714285714
home,37.7501,-122.49685714285714
home,37.75308571428572,-122.49685714285714
home,37.75607142857143,-122.49685714285714
home,37.759057142857145,-122.49685714285714
home,37.76204285714286,-122.49685714285714
home,37.76502857142857,-122.49685714285714
home,37.773985714285715,-122.49685714285714
home,37.77697142857143,-122.49685714285714
home,37.77995714285714,-122.49685714285714
home,37.78294285714286,-122.49685714285714
home,37.7292,-122.49210857142857
home,37.73218571428571,-122.49210857142857
home,37.735171428571434,-122.49210857142857
home,37.73815714285715,-122.49210857142857
home,37.74114285714286,-122.49210857142857
home,37.744128571428575,-122.49210857142857
home,37.74711428571429,-122.49210857142857
home,37.7501,-122.49210857142857
home,37.75308571428572,-122.49210857142857
home,37.75607142857143,-122.49210857142857
home,37.759057142857145,-122.49210857142857
home,37.76204285714286,-122.49210857142857
home,37.76502857142857,-122.49210857142857
home,37.773985714285715,-122.49210857142857
home,37.77697142857143,-122.49210857142857
home,37.77995714285714,-122.49210857142857
home,37.78294285714286,-122.49210857142857
home,37.78592857142857,-122.49210857142857
home,37.78891428571429,-122.49210857142857
home,37.7292,-122.48736
home,37.73218571428571,-122.48736
home,37.735171428571434,-122.48736
home,37.73815714285715,-122.48736
home,37.74114285714286,-122.48736
home,37.744128571428575,-122.48736
home,37.74711428571429,-122.48736
home,37.7501,-122.48736
home,37.75308571428572,-122.48736
home,37.75607142857143,-122.48736
home,37.759057142857145,-122.48736
home,37.76204285714286,-122.48736
home,37.76502857142857,-122.48736
home,37.773985714285715,-122.48736
home,37.77697142857143,-122.48736
home,37.77995714285714,-122.48736
home,37.78294285714286,-122.48736
home,37.78592857142857,-122.48736
home,37.78891428571429,-122.48736
home,37.7083,-122.48261142857143
home,37.711285714285715,-122.48261142857143
home,37.71427142857143,-122.48261142857143
home,37.71725714285714,-122.48261142857143
home,37.72024285714286,-122.48261142857143
home,37.72322857142857,-122.48261142857143
home,37.726214285714285,-122.48261142857143
home,37.7292,-122.48261142857143
home,37.73218571428571,-122.48261142857143
home,37.735171428571434,-122.48261142857143
home,37.73815714285715,-122.48261142857143
home,37.74114285714286,-122.48261142857143
home,37.744128571428575,-122.48261142857143
home,37.74711428571429,-122.48261142857143
home,37.7501,-122.48261142857143
home,37.75308571428572,-122.48261142857143
home,37.75607142857143,-122.48261142857143
home,37.759057142857145,-122.48261142857143
home,37.76204285714286,-122.48261142857143
home,37.76502857142857,-122.48261142857143
home,37.773985714285715,-122.48261142857143
home,37.77697142857143,-122.48261142857143
home,37.77995714285714,-122.48261142857143
home,37.78294285714286,-122.48261142857143
home,37.78592857142857,-122.48261142857143
home,37.78891428571429,-122.48261142857143
home,37.791900000000005,-122.48261142857143
home,37.71427142857143,-122.47786285714285
home,37.71725714285714,-122.47786285714285
home,37.72024285714286,-122.47786285714285
home,37.72322857142857,-122.47786285714285
home,37.726214285714285,-122.47786285714285
home,37.7292,-122.47786285714285
home,37.73218571428571,-122.47786285714285
home,37.735171428571434,-122.47786285714285
home,37.73815714285715,-122.47786285714285
home,37.74114285714286,-122.47786285714285
home,37.744128571428575,-122.47786285714285
home,37.74711428571429,-122.47786285714285
home,37.7501,-122.47786285714285
home,37.75308571428572,-122.47786285714285
home,37.75607142857143,-122.47786285714285
home,37.759057142857145,-122.47786285714285
home,37.76204285714286,-122.47786285714285
home,37.76502857142857,-122.47786285714285
home,37.773985714285715,-122.47786285714285
home,37.77697142857143,-122.47786285714285
home,37.77995714285714,-122.47786285714285
home,37.78294285714286,-122.47786285714285
home,37.78592857142857,-122.47786285714285
home,37.78891428571429,-122.47786285714285
home,37.791900000000005,-122.47786285714285
home,37.79488571428572,-122.47786285714285
home,37.79787142857143,-122.47786285714285
home,37.80085714285715,-122.47786285714285
home,37.711285714285715,-122.47311428571429
home,37.71427142857143,-122.47311428571429
home,37.71725714285714,-122.47311428571429
home,37.72024285714286,-122.47311428571429
home,37.72322857142857,-122.47311428571429
home,37.726214285714285,-122.47311428571429
home,37.7292,-122.47311428571429
home,37.73218571428571,-122.47311428571429
home,37.735171428571434,-122.47311428571429
home,37.73815714285715,-122.47311428571429
home,37.74114285714286,-122.47311428571429
home,37.744128571428575,-122.47311428571429
home,37.74711428571429,-122.47311428571429
home,37.7501,-122.47311428571429
home,37.75308571428572,-122.47311428571429
home,37.75607142857143,-122.47311428571429
home,37.759057142857145,-122.47311428571429
home,37.76204285714286,-122.47311428571429
home,37.76502857142857,-122.47311428571429
home,37.773985714285715,-122.47311428571429
home,37.77697142857143,-122.47311428571429
home,37.77995714285714,-122.47311428571429
home,37.78294285714286,-122.47311428571429
home,37.78592857142857,-122.47311428571429
home,37.78891428571429,-122.47311428571429
home,37.791900000000005,-122.47311428571429
home,37.79488571428572,-122.47311428571429
home,37.79787142857143,-122.47311428571429
home,37.80085714285715,-122.47311428571429
home,37.80384285714286,-122.47311428571429
home,37.806828571428575,-122.47311428571429
home,37.7083,-122.46836571428571
home,37.711285714285715,-122.46836571428571
home,37.71427142857143,-122.46836571428571
home,37.71725714285714,-122.46836571428571
home,37.72024285714286,-122.46836571428571
home,37.72322857142857,-122.46836571428571
home,37.726214285714285,-122.46836571428571
home,37.7292,-122.46836571428571
home,37.73218571428571,-122.46836571428571
home,37.735171428571434,-122.46836571428571
home,37.73815714285715,-122.46836571428571
home,37.74114285714286,-122.46836571428571
home,37.744128571428575,-122.46836571428571
home,37.74711428571429,-122.46836571428571
home,37.7501,-122.46836571428571
home,37.75308571428572,-122.46836571428571
home,37.75607142857143,-122.46836571428571
home,37.759057142857145,-122.46836571428571
home,37.76204285714286,-122.46836571428571
home,37.76502857142857,-122.46836571428571
home,37.773985714285715,-122.46836571428571
home,37.77697142857143,-122.46836571428571
home,37.77995714285714,-122.46836571428571
home,37.78294285714286,-122.46836571428571
home,37.78592857142857,-122.46836571428571
home,37.78891428571429,-122.46836571428571
home,37.791900000000005,-122.46836571428571
home,37.79488571428572,-122.46836571428571
home,37.79787142857143,-122.46836571428571
home,37.80085714285715,-122.46836571428571
home,37.80384285714286,-122.46836571428571
home,37.806828571428575,-122.46836571428571
home,37.7083,-122.46361714285715
home,37.711285714285715,-122.46361714285715
home,37.71427142857143,-122.46361714285715
home,37.71725714285714,-122.46361714285715
home,37.72024285714286,-122.46361714285715
home,37.72322857142857,-122.46361714285715
home,37.726214285714285,-122.46361714285715
home,37.7292,-122.46361714285715
home,37.73218571428571,-122.46361714285715
home,37.735171428571434,-122.46361714285715
home,37.73815714285715,-122.46361714285715
home,37.74114285714286,-122.46361714285715
home,37.744128571428575,-122.46361714285715
home,37.74711428571429,-122.46361714285715
home,37.7501,-122.46361714285715
home,37.75308571428572,-122.46361714285715
home,37.75607142857143,-122.46361714285715
home,37.759057142857145,-122.46361714285715
home,37.76204285714286,-122.46361714285715
home,37.76502857142857,-122.46361714285715
home,37.773985714285715,-122.46361714285715
home,37.77697142857143,-122.46361714285715
home,37.77995714285714,-122.46361714285715
home,37.78294285714286,-122.46361714285715
home,37.78592857142857,-122.46361714285715
home,37.78891428571429,-122.46361714285715
home,37.791900000000005,-122.46361714285715
home,37.79488571428572,-122.46361714285715
home,37.79787142857143,-122.46361714285715
home,37.80085714285715,-122.46361714285715
home,37.80384285714286,-122.46361714285715
home,37.7083,-122.45886857142857
home,37.711285714285715,-122.45886857142857
home,37.71427142857143,-122.45886857142857
home,37.71725714285714,-122.45886857142857
home,37.72024285714286,-122.45886857142857
home,37.72322857142857,-122.45886857142857
home,37.726214285714285,-122.45886857142857
home,37.7292,-122.45886857142857
home,37.73218571428571,-122.45886857142857
home,37.735171428571434,-122.45886857142857
home,37.73815714285715,-122.45886857142857
home,37.74114285714286,-122.45886857142857
home,37.744128571428575,-122.45886857142857
home,37.74711428571429,-122.45886857142857
home,37.7501,-122.45886857142857
home,37.75308571428572,-122.45886857142857
home,37.75607142857143,-122.45886857142857
home,37.759057142857145,-122.45886857142857
home,37.76204285714286,-122.45886857142857
home,37.76502857142857,-122.45886857142857
home,37.773985714285715,-122.45886857142857
home,37.77697142857143,-122.45886857142857
home,37.77995714285714,-122.45886857142857
home,37.78294285714286,-122.45886857142857
home,37.78592857142857,-122.45886857142857
home,37.78891428571429,-122.45886857142857
home,37.791900000000005,-122.45886857142857
home,37.79488571428572,-122.45886857142857
home,37.79787142857143,-122.45886857142857
home,37.80085714285715,-122.45886857142857
home,37.80384285714286,-122.45886857142857
home,37.7083,-122.45412
home,37.711285714285715,-122.45412
home,37.71427142857143,-122.45412
home,37.71725714285714,-122.45412
home,37.72024285714286,-122.45412
home,37.72322857142857,-122.45412
home,37.726214285714285,-122.45412
home,37.7292,-122.45412
home,37.73218571428571,-122.45412
home,37.735171428571434,-122.45412
home,37.73815714285715,-122.45412
home,37.74114285714286,-122.45412
home,37.744128571428575,-122.45412
home,37.74711428571429,-122.45412
home,37.7501,-122.45412
home,37.75308571428572,-122.45412
home,37.75607142857143,-122.45412
home,37.759057142857145,-122.45412
home,37.76204285714286,-122.45412
home,37.76502857142857,-122.45412
home,37.76801428571429,-122.45412
home,37.771,-122.45412
home,37.773985714285715,-122.45412
home,37.77697142857143,-122.45412
home,37.77995714285714,-122.45412
home,37.78294285714286,-122.45412
home,37.78592857142857,-122.45412
home,37.78891428571429,-122.45412
home,37.791900000000005,-122.45412
home,37.79488571428572,-122.45412
home,37.79787142857143,-122.45412
home,37.80085714285715,-122.45412
home,37.80384285714286,-122.45412
home,37.7083,-122.44937142857142
home,37.711285714285715,-122.44937142857142
home,37.71427142857143,-122.44937142857142
home,37.71725714285714,-122.44937142857142
home,37.72024285714286,-122.44937142857142
home,37.72322857142857,-122.44937142857142
home,37.726214285714285,-122.44937142857142
home,37.7292,-122.44937142857142
home,37.73218571428571,-122.44937142857142
home,37.735171428571434,-122.44937142857142
home,37.73815714285715,-122.44937142857142
home,37.74114285714286,-122.44937142857142
home,37.744128571428575,-122.44937142857142
home,37.74711428571429,-122.44937142857142
home,37.7501,-122.44937142857142
home,37.75308571428572,-122.44937142857142
home,37.75607142857143,-122.44937142857142
home,37.759057142857145,-122.44937142857142
home,37.76204285714286,-122.44937142857142
home,37.76502857142857,-122.44937142857142
home,37.76801428571429,-122.44937142857142
home,37.771,-122.44937142857142
home,37.773985714285715,-122.44937142857142
home,37.77697142857143,-122.44937142857142
home,37.77995714285714,-122.44937142857142
home,37.78294285714286,-122.44937142857142
home,37.78592857142857,-122.44937142857142
home,37.78891428571429,-122.44937142857142
home,37.791900000000005,-122.44937142857142
home,37.79488571428572,-122.44937142857142
home,37.79787142857143,-122.44937142857142
home,37.80085714285715,-122.44937142857142
home,37.80384285714286,-122.44937142857142
home,37.7083,-122.44462285714286
home,37.711285714285715,-122.44462285714286
home,37.71427142857143,-122.44462285714286
home,37.71725714285714,-122.44462285714286
home,37.72024285714286,-122.44462285714286
home,37.72322857142857,-122.44462285714286
home,37.726214285714285,-122.44462285714286
home,37.7292,-122.44462285714286
home,37.73218571428571,-122.44462285714286
home,37.735171428571434,-122.44462285714286
home,37.73815714285715,-122.44462285714286
home,37.74114285714286,-122.44462285714286
home,37.744128571428575,-122.44462285714286
home,37.74711428571429,-122.44462285714286
home,37.7501,-122.44462285714286
home,37.75308571428572,-122.44462285714286
home,37.75607142857143,-122.44462285714286
home,37.759057142857145,-122.44462285714286
home,37.76204285714286,-122.44462285714286
home,37.76502857142857,-122.44462285714286
home,37.76801428571429,-122.44462285714286
home,37.771,-122.44462285714286
home,37.773985714285715,-122.44462285714286
home,37.77697142857143,-122.44462285714286
home,37.77995714285714,-122.44462285714286
home,37.78294285714286,-122.44462285714286
home,37.78592857142857,-122.44462285714286
home,37.78891428571429,-122.44462285714286
home,37.791900000000005,-122.44462285714286
home,37.79488571428572,-122.44462285714286
home,37.79787142857143,-122.44462285714286
home,37.80085714285715,-122.44462285714286
home,37.80384285714286,-122.44462285714286
home,37.806828571428575,-122.44462285714286
home,37.7083,-122.43987428571428
home,37.711285714285715,-122.43987428571428
home,37.71427142857143,-122.43987428571428
home,37.71725714285714,-122.43987428571428
home,37.72024285714286,-122.43987428571428
home,37.72322857142857,-122.43987428571428
home,37.726214285714285,-122.43987428571428
home,37.7292,-122.43987428571428
home,37.73218571428571,-122.43987428571428
home,37.735171428571434,-122.43987428571428
home,37.73815714285715,-122.43987428571428
home,37.74114285714286,-122.43987428571428
home,37.744128571428575,-122.43987428571428
home,37.74711428571429,-122.43987428571428
home,37.7501,-122.43987428571428
home,37.75308571428572,-122.43987428571428
home,37.75607142857143,-122.43987428571428
home,37.759057142857145,-122.43987428571428
home,37.76204285714286,-122.43987428571428
home,37.76502857142857,-122.43987428571428
home,37.76801428571429,-122.43987428571428
home,37.771,-122.43987428571428
home,37.773985714285715,-122.43987428571428
home,37.77697142857143,-122.43987428571428
home,37.77995714285714,-122.43987428571428
home,37.78294285714286,-122.43987428571428
home,37.78592857142857,-122.43987428571428
home,37.78891428571429,-122.43987428571428
home,37.791900000000005,-122.43987428571428
home,37.79488571428572,-122.43987428571428
home,37.79787142857143,-122.43987428571428
home,37.80085714285715,-122.43987428571428
home,37.80384285714286,-122.43987428571428
home,37.806828571428575,-122.43987428571428
home,37.7083,-122.43512571428572
home,37.711285714285715,-122.43512571428572
home,37.71427142857143,-122.43512571428572
home,37.71725714285714,-122.43512571428572
home,37.72024285714286,-122.43512571428572
home,37.72322857142857,-122.43512571428572
home,37.726214285714285,-122.43512571428572
home,37.7292,-122.43512571428572
home,37.73218571428571,-122.43512571428572
home,37.735171428571434,-122.43512571428572
home,37.73815714285715,-122.43512571428572
home,37.74114285714286,-122.43512571428572
home,37.744128571428575,-122.43512571428572
home,37.74711428571429,-122.43512571428572
home,37.7501,-122.43512571428572
home,37.75308571428572,-122.43512571428572
home,37.75607142857143,-122.43512571428572
home,37.759057142857145,-122.43512571428572
home,37.76204285714286,-122.43512571428572
home,37.76502857142857,-122.43512571428572
home,37.76801428571429,-122.43512571428572
home,37.771,-122.43512571428572
home,37.773985714285715,-122.43512571428572
home,37.77697142857143,-122.43512571428572
home,37.77995714285714,-122.43512571428572
home,37.78294285714286,-122.43512571428572
home,37.78592857142857,-122.43512571428572
home,37.78891428571429,-122.43512571428572
home,37.791900000000005,-122.43512571428572
home,37.79488571428572,-122.43512571428572
home,37.79787142857143,-122.43512571428572
home,37.80085714285715,-122.43512571428572
home,37.80384285714286,-122.43512571428572
home,37.806828571428575,-122.43512571428572
home,37.7083,-122.43037714285714
home,37.711285714285715,-122.43037714285714
home,37.71427142857143,-122.43037714285714
home,37.71725714285714,-122.43037714285714
home,37.72024285714286,-122.43037714285714
home,37.72322857142857,-122.43037714285714
home,37.726214285714285,-122.43037714285714
home,37.7292,-122.43037714285714
home,37.73218571428571,-122.43037714285714
home,37.735171428571434,-122.43037714285714
home,37.73815714285715,-122.43037714285714
home,37.74114285714286,-122.43037714285714
home,37.744128571428575,-122.43037714285714
home,37.74711428571429,-122.43037714285714
home,37.7501,-122.43037714285714
home,37.75308571428572,-122.43037714285714
home,37.75607142857143,-122.43037714285714
home,37.759057142857145,-122.43037714285714
home,37.76204285714286,-122.43037714285714
home,37.76502857142857,-122.43037714285714
home,37.76801428571429,-122.43037714285714
home,37.771,-122.43037714285714
home,37.773985714285715,-122.43037714285714
home,37.77697142857143,-122.43037714285714
home,37.77995714285714,-122.43037714285714
home,37.78294285714286,-122.43037714285714
home,37.78592857142857,-122.43037714285714
home,37.78891428571429,-122.43037714285714
home,37.791900000000005,-122.43037714285714
home,37.79488571428572,-122.43037714285714
home,37.79787142857143,-122.43037714285714
home,37.80085714285715,-122.43037714285714
home,37.80384285714286,-122.43037714285714
home,37.806828571428575,-122.43037714285714
home,37.7083,-122.42562857142858
home,37.711285714285715,-122.42562857142858
home,37.71427142857143,-122.42562857142858
home,37.71725714285714,-122.42562857142858
home,37.72024285714286,-122.42562857142858
home,37.72322857142857,-122.42562857142858
home,37.726214285714285,-122.42562857142858
home,37.7292,-122.42562857142858
home,37.73218571428571,-122.42562857142858
home,37.735171428571434,-122.42562857142858
home,37.73815714285715,-122.42562857142858
home,37.74114285714286,-122.42562857142858
home,37.744128571428575,-122.42562857142858
home,37.74711428571429,-122.42562857142858
home,37.7501,-122.42562857142858
home,37.75308571428572,-122.42562857142858
home,37.75607142857143,-122.42562857142858
home,37.759057142857145,-122.42562857142858
